Nº da Imagem,Descrição da Imagem
1,objetivos de desenvolvimento sustentável
2,estrutura da dissertação
3,evolução do conceito de biblioteca
4,objetivos da usabilidade e da exepriência do utilizador
5,diretrizes para o desenho de interfaces
6,recomendações para o desenho de interfaces
7,plano de desenvolvimento do desenho centrado no utilizador
8,diretrizes para o desenho de interfaces mediadoras de educação
9,características da experiência do utilizador
10,Ciclo lean UX
11,aspetos da avaliação de usabilidade com utilizadores
12,princípios de usabilidade
13,fases de desenvolvimento da avaliação de usabilidade
14,heurísticas para o desenho de interfaces
15," página inicial, acm digital library"
16," página inicial, biblioteca digital mais liberdade"
17," página inicial, global digital library"
18," página inicial, UNESCO digital library"
19," página inicial, biblioteca digital Camões"
20," página inicial, national digital library of India"
21," página inicial, digital public library of america"
22," página inicial, digital public library of the Caribbean"
23," página inicial, family search digital library"
24," página inicial, asian digital library"
252," página inicial, national academic digital library of Ethiopia"
6," página inicial, biblioteca nacional digital"
27," página inicial, african online digital library"
28," página inicial, Qatar national library"
29,diretrizes para a prática da design science
30,etapas da design science research
31,fatores que influênnciam o acesso a plataformas digitais
32,princípios universais do desenho de interfaces do utilizador
33,distribuição dos artigos por método de avaliação de usabilidade
34,expectativa / perrcepção de uso de bibliotecas digitais
35,elementos a avaliar nas bibliotecas digitais
36,abordagens de avaliação de usabilidade
37,distribuição dos artigos selecionados por objetivos de investigação
38, distribuição dos artigos por output de investigação
39,fases do ciclo de desenvolvimento de interfaces
40,fases do desenvolvimento do protótipo
41,iteração de desenvolvimento da proposta
42,atributos de usabilidade de IU
43,"utilizadores primários, utilizadores secundáorios e não-utilizadores"
44,"esboço em papel, página incial"
45,"esboço em papel, página de detalhes de artigo"
46,"esboço em papel, página de menu de artigos"
47,"wireframe, barra de navegação"
48,"wireframe, página inicial"
49,"wireframe, página de detalhes de autor e detalhes de artigo"
50,"wireframe, rodapé"
51,"proposta um, barra de navegação"
52,"proposta um, pagina inicial"
53,"proposta um, rodapé"
54,"proposta um, página de menus de artigos"
55,"proposta um, página de detalhes de artigo"
56,ecrã inicial dos testes exploratórios de avaliação de usabilidade
57,"proposta dois, página de tutorial"
58,proposta dois página inicial
59,"proposta dois, rodapé"
60,"proposta dois, página de menu de artigos"
61,"proposta dois, página de detalhes de artigo"
62,ecrã inicial do teste exploratório na plataforma user testing
63,"proposta um, caixa de diálogo do tutorial"
64,caixa de diálogo do tutorial dos testes exploratórios
65,ecrã inicial do teste exploratório na plataforma User Testing
66,ícone informativo e caixa de pesquisa da página inicial
67,rótulo géneros da página de detalhes do artigo
68,esquema de cores das páginas de menus de imagens e software
69,rótulo avaliação da página de detalhes do artigo
70,rótulo descarregar da página de detalhes do artigo
71,"ícones para o acesso à página de menu de artigos, página inicial"
72,caixa de diálogo da tarefa um da avaliação heurística com especialistas
73,caixa de diálogo da tarefa três da avaliação heurística com especialistas
74,questionário pós-avaliação na plataforma User Lytics
75,"proposta 3, página inical"
76,"proposta 3, página “Todos os artigos” tema escuro"
77,"proposta 3, página “Todas as categorias” tema padrão"
78,"proposta 3, página “Todos os Géneros” tema padrão"
79,"prosposta 3, página artigos do 1º ciclo, tema escuro"
80,"proposta 3, página artigos do 2º ciclo, tema padrão"
81,"proposta 3, página artigos do ensino secundário"
