Id,DescriÁ„o da tabela
1,escala de tràs e cinco n°veis de severidade de problemas de usabilidade da interface do utilizador
2,diretrizes da design science research adaptadas Ö dissertaá∆o
3,termos de pesquisa da revisao sistematica da literatura Q1
4,distribuiá∆o de artigos por string e base de dados de pesquisa Q1
5,distribuiá∆o de artigos por base de dados Q1
6,lista de artigos inclu°dos na revis∆o sitem†tica de literatura Q1
7,distribuiá∆o dos artigos por mÇtodos de avaliaá∆o de usabilidade 
8,termos de pesquisa da revisao sistematica da literatura Q2
9,distribuiá∆o de artigos por string e base de dados de pesquisa Q2
10,lista de artigos inclu°dos na revis∆o sitem†tica de literatura Q2
11,distribuiá∆o dos artigos selecionados por ano de publicaá∆o e idioma Q2
12,termos de pesquisa da revis∆o sistem†tica da literatura Q3
13,distribuiá∆o de artigos selecionados por idioma da string de pesquisa Q3
14,lista de artigos inclu°dos na revis∆o sitem†tica de literatura Q3
15,termos de pesquisa da revis∆o sistem†tica da literatura Q4
16,distribuiá∆o dos artigos selecionados por base de dados e idioma Q4
17,distribuiá∆o dos artigos selecionados por ano de publicaá∆o e idioma Q4
18,artigos analisados na RSL
19,termos de pesquisa da revis∆o sistem†tica da literatura Q5
20,distribuiá∆o dos artigos selecionados por base de dados Q5
21,lista de artigos inclu°dos na revis∆o sitem†tica de literatura Q5
22,permissas de desenho de IU
23,heur°sticas de nielsen adaptadas
24,distribuiá∆o dos problemas de usabilidade identificados por categoria
25,problemas de usabilidade identificados na proposta um
26,"proposta dois, p†gina de tutorial"
27,"proposta dois, p†gina inicial"
28,"proposta dois, rodapÇ"
29,"proposta dois, p†gina de menu de artigos"
30,"proposta dois, p†gina de detalhes de artigo"
31,ecr∆ inicial do teste explorat¢rio da plataforma user testing
32,caixa de di†logo do tutorial
33,distribuiá∆o de problemas de usabilidade identificados por categoria e grau de severidade 
34,distribuiá∆o do desempenho do avaliador por tarefa
35,distribuiá∆o da avaliaá∆o de dificuldade dos avaliadores por tarefa
36,distribuiá∆o dos resustados do question†rio SUS por quest∆o
37,problemas de usabilidade identificados na proposta dois
